 Quantity,Quantité,
 out of {0},sur {0},
% Of Applicant Portfolio,% du portefeuille du demandeur,
% Of Total Portfolio,% du portefeuille total,
% Produced,% produit,
% Raw Material Received,% de matières premières reçues,
% Raw Material Returned,% de matières premières retournées,
'*' is only allowed in {0} SQL function(s),'*' est autorisé uniquement dans la/les fonction(s) SQL {0},
'{0}' is not a valid IBAN,'{0}' n'est pas un IBAN valide,
(Daily Yield * No of Units Produced) / 100,(Rendement journalier × Nombre d'unités produites) / 100,
(Good Units Produced / Total Units Produced) × 100,(Bonnes unités produites / Total des unités produites) × 100,
(Total Workstation Time / Manufacturing Time) * 60,(Temps total au poste / Temps de fabrication) × 60,
(none),(aucun),
", Mobile {}",", Mobile {}",
1 Report,1 rapport,
1 of 2,1 sur 2,
1 row from {0},1 ligne depuis {0},
1 row to {0},1 ligne vers {0},
5 days ago,il y a 5 jours,
5.0.0,5.0.0,
<b><a href='/app/Form/Healthcare Settings'>Healthcare Settings</a></b>,<b><a href='/app/Form/Healthcare Settings'>Paramètres de santé</a></b>,
<b>Expiry Date of Patient's Insurance Policy</b> (via Patient Insurance Policy) or <b>Validity End Date of Coverage</b> (via Item Insurance Eligibility),<b>Date d'expiration de la police d'assurance du patient</b> (via Police d'assurance du patient) ou <b>Date de fin de validité de la couverture</b> (via Éligibilité à l'assurance de l'article),
"<b>Reason for Claim Rejection / Error</b> is required, please update row #{}","<b>Raison du rejet de la note de frais / Erreur</b> est obligatoire, veuillez mettre à jour la ligne #{}",
"<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Unique</b> : Résultats nécessitant une seule saisie.<br><b>Composé</b> : Résultats nécessitant plusieurs saisies d'événements.<br><b>Descriptif</b> : Tests ayant plusieurs composants de résultat avec saisie manuelle.<br><b>Groupé</b> : Modèles de test qui sont un groupe d'autres modèles de test.<br><b>Sans résultat</b> : Tests sans résultat, peuvent être commandés et facturés mais aucun Test de Laboratoire ne sera créé. ex : Sous-tests pour les résultats groupés",
<b>Valid From</b> date cannot be after <b>Valid Till</b> date,La date <b>Valide à partir du</b> ne peut pas être postérieure à la date <b>Valide jusqu'au</b>,
<b>{0}</b> is not a valid URL,<b>{0}</b> n'est pas une URL valide,
"<br><br><br>Creating Health ID <br>
								<small>Please note, this may take a while</small>","<br><br><br>Création de l'ID Santé <br><small>Veuillez patienter, cela peut prendre un certain temps</small>",
<br><br><br>Getting Health ID,<br><br><br>Récupération de l'identifiant de santé (Health ID),
<br><br>Resending Aadhaar OTP...,<br><br>Renvoi de l'OTP Aadhaar...,
<br><br>Searching...,<br><br>Recherche en cours...,
"<br><br>Verifying OTP... <br>
					<small>Please note, this may take a while</small>","<br><br>Vérification de l'OTP... <br><small>Veuillez patienter, cela peut prendre un certain temps</small>",
<br><br>Verifying...,<br><br>Vérification en cours...,
<br>Please check email / mobile or disable 'Invite as User' to skip creating User,<br>Veuillez vérifier l'e-mail / mobile ou désactiver 'Inviter en tant qu'utilisateur' pour ignorer la création de l'utilisateur,
<h5>Employees on Half Day</h5>,<h5>Employés en demi-journée</h5>,
<h5>Unmarked Employees</h5>,<h5>Employés non marqués</h5>,
"<p>Notes:</p>

<ol>
<li>Keywords Available : 
<code>age</code></li>
<li>Tables Available : <code>Patient, Healthcare Settings, Observation, Observation Template</code></li>
</ol>","<p>Notes :</p><ol><li>Mots-clés disponibles : <code>age</code></li><li>Tables disponibles : <code>Patient, Paramètres Santé, Observation, Modèle d'observation</code></li></ol>",
"<svg class=""icon  icon-sm"" style="""">
				<use class="""" href=""#icon-printer""></use>
			</svg>","<svg class=""icon  icon-sm"" style=""""><use class="""" href=""#icon-printer""></use></svg>",
A Negative,A Négatif,
A Positive,A Positif,
A Reverse Journal Entry {0} already exists for this Journal Entry.,Une écriture de journal inverse {0} existe déjà pour cette écriture de journal.,
A Sales Invoice already exists for this Emergency Record,Une Facture de Vente existe déjà pour ce Dossier d'Urgence,
A field with the name {0} already exists in {1},Un champ nommé {0} existe déjà dans {1},
A file with same name {} already exists,Un fichier avec le même nom {} existe déjà,
A template already exists for field {0} of {1},Un modèle existe déjà pour le champ {0} de {1},
AB Negative,AB Négatif,
AB Positive,AB Positif,
ABDM Request,Requête ABDM,
ABDM Settings,Paramètres ABDM,
ABHA Address is required to search,L'adresse ABHA est requise pour effectuer la recherche,
ABHA Addressent Required,Adresse ABHA requise,
ABHA ID created successfully,Identifiant ABHA créé avec succès,
ABHA ID not Created,Identifiant ABHA non créé,
AGE,ÂGE,
ALL records will be deleted (entire DocType cleared),TOUS les enregistrements seront supprimés (DocType entièrement vidé),
ALM Audit Report,Rapport d'audit ALM,
AMC Expiry (Serial),Expiration de l'AMC (Série),
API Configuration,Configuration de l'API,
API Endpoint Args should be valid JSON,Les arguments du point d'accès API doivent être du JSON valide,
API Key / Bearer Token,Clé API / Jeton Bearer,
API Keys,Clés API,
API Logging,Journalisation de l'API,
API Password,Mot de passe API,
API Request Log,Journal des requêtes API,
API Token,Jeton API,
API Username,Nom d'utilisateur API,
ASAP,DÈS QUE POSSIBLE,
Aadhaar Consent Template,Modèle de consentement Aadhaar,
Abbreviation already used for {0},Abréviation déjà utilisée pour {0},
Abdomen,Abdomen,
Abnormal,Anormal,
Abnormal Condition,Condition anormale,
Abnormal From,Anormal à partir de,
Abnormal Interpretation,Interprétation anormale,
Abnormal Long Interpretation,Interprétation longue anormale,
Abnormal Options,Options anormales,
Abnormal Ratio,Ratio anormal,
Abnormal To,Anormal à,
Abnormal Value,Valeur anormale,
About,À propos,
About Us Settings,Paramètres À propos,
About when and how to obtain urgent work care,À propos de quand et comment obtenir des soins urgents,
About {0} minute remaining,Environ {0} minute restante,
About {0} minutes remaining,Environ {0} minutes restantes,
About {0} seconds remaining,Environ {0} secondes restantes,
Above,Au-dessus,
Absent,Absent,
Accept Invitation,Accepter l'invitation,
Accepted,Accepté,
Accepted At,Accepté le,
Accepted Qty,Qté acceptée,
Access Control,Contrôle d'accès,
Account,Compte,
Account Category,Catégorie de compte,
Account Category Name,Nom de la catégorie de compte,
Account Code,Code du compte,
Account Currency,Devise du compte,
Account Data,Données du compte,
Account Detail Level,Niveau de détail du compte,
Account Head,Compte comptable,
Account Holder,Titulaire du compte,
Account Name,Nom du compte,
Account Number,Numéro de compte,
Account Settings,Paramètres du compte,
Account Tree,Arborescence des comptes,
Account Type,Type de compte,
Account is mandatory,Le compte est obligatoire,
Account {0} cannot be converted to Group as it is already set as {1} for {2}.,Le compte {0} ne peut pas être converti en groupe car il est déjà défini comme {1} pour {2}.,
Account {0} cannot be disabled as it is already set as {1} for {2}.,Le compte {0} ne peut pas être désactivé car il est déjà défini comme {1} pour {2}.,
Account {0} does not belongs to company {1},Le compte {0} n'appartient pas à la société {1},
Account {0} is disabled.,Le compte {0} est désactivé.,
Account {0} should be of type Expense,Le compte {0} doit être de type Dépense,
Accounting,Comptabilité,
Accounting Dimension Filter,Filtre de dimension comptable,
Accounts,Comptes,
Accounts Included in Report,Comptes inclus dans le rapport,
Accounts Manager,Responsable comptable,
Accounts Missing from Report,Comptes manquants dans le rapport,
Accounts Receivable / Payable Tuning,Réglage des comptes clients / fournisseurs,
Accounts Settings,Paramètres comptables,
Accounts User,Utilisateur comptable,
Accounts not set for Salary Component {0},Comptes non définis pour la composante de salaire {0},
Accrual,Comptabilisation,
Accrual Arrears,Arriérés comptabilisés,
Accrual Component,Composante comptabilisée,
Accrual Component can only be set for Earning Salary Components.,Le composant d'accrual ne peut être défini que pour les composantes de salaire de gains.,
Accrual Date,Date de comptabilisation,
Accrual Details,Détails de comptabilisation,
Accrual Type,Type de comptabilisation,
Accrue and payout at end of payroll period,Comptabiliser et verser à la fin de la période de paie,
