source,traduction
% Of Applicant Portfolio,% du portefeuille du demandeur
% Of Total Portfolio,% du portefeuille total
% Produced,% produit
% Raw Material Received,% de matières premières reçues
% Raw Material Returned,% de matières premières retournées
'{0}' is not a valid IBAN,'{0}' n'est pas un IBAN valide
(none),(aucun)
1 Report,1 rapport
1 of 2,1 sur 2
1 row from {0},1 ligne depuis {0}
1 row to {0},1 ligne vers {0}
5 days ago,il y a 5 jours
<b>{0}</b> is not a valid URL,<b>{0}</b> n'est pas une URL valide
<h5>Unmarked Employees</h5>,<h5>Employés non marqués</h5>
ALM Audit Report,Rapport d'audit ALM
About Us Settings,Paramètres À propos
About {0} minute remaining,Environ {0} minute restante
About {0} minutes remaining,Environ {0} minutes restantes
About {0} seconds remaining,Environ {0} secondes restantes
Account {0} is disabled.,Le compte {0} est désactivé.
Additional Interest Accounts ,Comptes d'intérêts supplémentaires
Against Customer Order {0},Contre la commande client {0}
Against Supplier Invoice {0},Contre la facture fournisseur {0}
Allocation,Allocation
Allowed Public Client Origins,Origines client public autorisées
Applicable Salary Components,Composantes de salaire applicables
Applicant ,Demandeur
Apps,Applications
Are you sure you want to {0}?,Êtes-vous sûr de vouloir {0} ?
Ask,Demander
Asset issued to Employee {0},Actif émis à l'employé {0}
Attribution,Attribution
Auto Write Off Amount ,Montant de passation par pertes automatique
BCC,Cci
BIN Qty,Qté BIN
BOM UOM,UDM nomenclature
BPI Amount Difference,Différence de montant IPB
BPI Difference Date,Date de différence IPB
BPI Recovery Method,Méthode de recouvrement IPB
BPI difference entry,Écriture de différence IPB
Base Total Costing Amount,Montant total de coût de base
Based On,Basé sur
Basic Authentication,Authentification basique
Basic Info,Informations de base
Batch Qty updated to {0},Qté de lot mise à jour à {0}
Batchwise Valuation,Valorisation par lot
Before Discard,Avant rejet
Before Import Script,Script avant import
Before Print,Avant impression
Before Rename,Avant renommage
Before Validate,Avant validation
Beginner,Débutant
Benefit Amount,Montant de l'avantage
Benefit Details,Détails de l'avantage
Bi-Weekly,Bihebdomadaire
BigQuery Configuration,Configuration BigQuery
BigQuery Dataset ID,ID de jeu de données BigQuery
BigQuery Project ID,ID de projet BigQuery
"Billed, Received & Returned","Facturé, reçu et retourné"
Billing Contact,Contact de facturation
Bin Qty Recalculated,Qté bin recalculée
Binary Logging,Journalisation binaire
Bisect Accounting Statements,Bissecter les états comptables
Bisect Left,Bissecter à gauche
Bisect Nodes,Bissecter les nœuds
Bisect Right,Bissecter à droite
Bisecting From,Bissection depuis
Bisecting Left ...,Bissection à gauche ...
Bisecting Right ...,Bissection à droite ...
Bisecting To,Bissection vers
Biweekly,Bihebdomadaire
Blank Line,Ligne vide
Blanket Order Allowance (%),Tolérance de commande globale (%)
Blue,Bleu
Boarding Status,Statut d'intégration
Bold Text,Texte en gras
Bot,Robot
Bottom Center,Bas centre
Bottom Left,Bas gauche
Bottom Right,Bas droite
Branch Details,Détails de la branche
Broken Period Interest,Intérêts de période rompue
Broken Period Interest Days,Jours d'intérêts de période rompue
Bucket Size,Taille du compartiment
Budget Amount can not be {0}.,Le montant du budget ne peut pas être {0}.
Budget Distribution,Distribution du budget
Budget Distribution Total,Total de distribution du budget
Budget End Date,Date de fin du budget
Budget Limit Exceeded,Limite budgétaire dépassée
Budget Start Date,Date de début du budget
Buffer Time,Temps de tampon
Buffered Cursor,Curseur tamponné
Bufferpool Size,Taille du pool de tampons
Build All?,Tout construire ?
Build Tree,Construire l'arbre
Buildable Qty,Qté constructible
Built on {0},Construit sur {0}
Bulk Actions,Actions en masse
Bulk Assignments,Affectations en masse
Bulk Enqueue,Mise en file d'attente en masse
Bulk Enqueue Import Job,Mise en file d'attente d'import en masse
Bulk Enqueue Progress,Progression de la mise en file d'attente en masse
