source,traduction
Please set Customer Address to determine if the transaction is an export.,Veuillez définir l'adresse du client pour déterminer si la transaction est une exportation.
Please set Email/Phone for the contact,Veuillez définir l'e-mail/téléphone pour le contact
Please set Fixed Asset Account in Asset Category {0},Veuillez définir le compte d'actif immobilisé dans la catégorie d'actif {0}
Please set Interest Accrued Account in Loan Product {0},Veuillez définir le compte d'intérêts accruals dans le produit de prêt {0}
Please set Interest Income Account in Loan Product {0},Veuillez définir le compte de produits d'intérêts dans le produit de prêt {0}
Please set Parent Row No for item {0},Veuillez définir le n° de ligne parent pour l'article {0}
Please set Payroll Payable Account in Loan Repayment,Veuillez définir le compte de paie à payer dans le remboursement de prêt
Please set a date range less than 90 days.,Veuillez définir une plage de dates inférieure à 90 jours.
Please set a default Holiday List for Company {0},Veuillez définir une liste de jours fériés par défaut pour la société {0}
Please set an Address on the Company '%s',Veuillez définir une adresse sur la société '%s'
Please set an Expense Account in the Items table,Veuillez définir un compte de dépenses dans le tableau des articles
Please set both the Tax ID and Fiscal Code on Company {0},Veuillez définir à la fois l'identifiant fiscal et le code fiscal sur la société {0}
Please set default Exchange Gain/Loss Account in Company {},Veuillez définir le compte de gain/perte de change par défaut dans la société {}
Please set default Expense Account in Company {0},Veuillez définir le compte de dépenses par défaut dans la société {0}
Please set the Target Warehouse in the Job Card,Veuillez définir l'entrepôt cible dans la carte de travail
Please set the WIP Warehouse in the Job Card,Veuillez définir l'entrepôt WIP dans la carte de travail
Please set {0} in Company {1} to account for Exchange Gain / Loss,Veuillez définir {0} dans la société {1} pour les gains/pertes de change
Please set {0} to {1}, the same account that was used in the original invoice {2}.,Veuillez définir {0} sur {1}, le même compte utilisé dans la facture originale {2}.
Please setup default outgoing Email Account from Settings > Email Account,Veuillez configurer le compte e-mail sortant par défaut depuis Paramètres > Compte e-mail
Please share this email with your support team so that they can find and fix the issue.,Veuillez partager cet e-mail avec votre équipe de support pour qu'elle puisse trouver et résoudre le problème.
Please specify a valid parent DocType for {0},Veuillez spécifier un DocType parent valide pour {0}
Please specify at least 10 minutes due to the trigger cadence of the scheduler,Veuillez spécifier au moins 10 minutes en raison de la cadence de déclenchement du planificateur
Please specify which datetime field must be checked,Veuillez spécifier quel champ datetime doit être vérifié
Please update {} before continuing.,Veuillez mettre à jour {} avant de continuer.
Post it here, our mentors will help you out.,Postez-le ici, nos mentors vous aideront.
Posting Date Inheritance for Exchange Gain / Loss,Héritage de la date de comptabilisation pour le gain/perte de change
Prepend the template to the email message,Ajouter le modèle au début du message e-mail
Prevent self approval for expense claims even if user has permissions,Empêcher l'auto-approbation des notes de frais même si l'utilisateur a les permissions
Prevent self approval for leaves even if user has permissions,Empêcher l'auto-approbation des congés même si l'utilisateur a les permissions
Previous Year is not closed, please close it first,L'année précédente n'est pas clôturée, veuillez d'abord la clôturer
