source,traduction
Days Past Due Threshold for NPA,Seuil de jours en retard pour le statut NPA
Days before the current subscription period,Jours avant la période d'abonnement actuelle
Days for which Holidays are blocked for this department.,Jours pour lesquels les jours fériés sont bloqués pour ce département.
Days to Reverse must be greater than zero.,Les jours à inverser doivent être supérieurs à zéro.
Debit Amount in Reporting Currency,Montant du débit en devise de reporting
Debit Amount in Transaction Currency,Montant du débit en devise de transaction
Debit Note will update it's own outstanding amount even if 'Return Against' is specified.,La note de débit mettra à jour son propre montant en souffrance même si 'Retour contre' est spécifié.
Default BOM not found for FG Item {0},Nomenclature par défaut introuvable pour le produit fini {0}
Default Expense Claim Payable Account,Compte fournisseur par défaut pour les notes de frais
Default Provisional Account (Service),Compte provisionnel par défaut (service)
Default Service Level Agreement for {0} already exists.,Un accord de niveau de service par défaut pour {0} existe déjà.
Default settings for your stock-related transactions,Paramètres par défaut pour vos transactions liées aux stocks
Defines actions on states and the next step and allowed roles.,Définit les actions sur les états, l'étape suivante et les rôles autorisés.
Defines workflow states and rules for a document.,Définit les états du flux de travail et les règles d'un document.
Delete Accounting and Stock Ledger Entries on deletion of Transaction,Supprimer les écritures comptables et de stock lors de la suppression de la transaction
Delete Background Exported Reports After (Hours),Supprimer les rapports exportés en arrière-plan après (heures)
Delete Cancelled Ledger Entries,Supprimer les écritures du grand livre annulées
Deleting {0} and all associated Common Code documents...,Suppression de {0} et de tous les documents Code commun associés...
Deletion of this document is only permitted in developer mode.,La suppression de ce document est autorisée uniquement en mode développeur.
Delimiter must be a single character,Le délimiteur doit être un seul caractère
Department {0} does not belong to company: {1},Le département {0} n'appartient pas à la société : {1}
Depreciate based on daily pro-rata,Amortir selon le prorata quotidien
Depreciation Entry against asset {0},Écriture d'amortissement pour l'actif {0}
Depreciation Entry against {0} worth {1},Écriture d'amortissement pour {0} d'une valeur de {1}
Depreciation Expense Account should be an Income or Expense Account.,Le compte de charges d'amortissement doit être un compte de produits ou de charges.
Depreciation Posting Date cannot be before Available-for-use Date,La date de comptabilisation de l'amortissement ne peut pas être antérieure à la date de disponibilité
Depreciation cannot be calculated for fully depreciated assets,L'amortissement ne peut pas être calculé pour les actifs entièrement amortis
Description to inform the user about any action that is going to be performed,Description pour informer l'utilisateur de l'action qui va être effectuée
Descriptive name for your template (e.g. 'Standard P&L' 'Detailed Balance Sheet'),Nom descriptif pour votre modèle (ex. 'P&L Standard' 'Bilan détaillé')
Different 'Source Warehouse' and 'Target Warehouse' can be set for each row.,Des entrepôts 'Source' et 'Cible' différents peuvent être définis pour chaque ligne.
Dimension-wise Accounts Balance Report,Rapport de solde des comptes par dimension
Direct return is not allowed for Timesheet.,Le retour direct n'est pas autorisé pour les feuilles de temps.
Disable Change Log Notification,Désactiver la notification du journal des modifications
Disable System Update Notification,Désactiver la notification de mise à jour système
Disable Username/Password Login,Désactiver la connexion par identifiant/mot de passe
Disabled Warehouse {0} cannot be used for this transaction.,L'entrepôt désactivé {0} ne peut pas être utilisé pour cette transaction.
Disassemble Qty cannot be less than or equal to <b>0</b>.,La qté de désassemblage ne peut pas être inférieure ou égale à <b>0</b>.
Disbursed Amount cannot be more than {0} as per loan limit or assigned security value,Le montant décaissé ne peut pas dépasser {0} selon la limite du prêt ou la valeur de la garantie
Disbursement amount cannot be greater than available limit amount,Le montant du décaissement ne peut pas être supérieur au montant de la limite disponible
Discard Changes and Load New Invoice,Rejeter les modifications et charger une nouvelle facture
Discount (%) on Price List Rate with Margin,Remise (%) sur le taux de la liste de prix avec marge
Discount cannot be greater than 100%,La remise ne peut pas être supérieure à 100%
Discrepancy between General and Payment Ledger,Écart entre le grand livre général et le grand livre des paiements
Disposal date {0} cannot be before {1} date {2} of the asset.,La date de cession {0} ne peut pas être antérieure à la date {1} {2} de l'actif.
Do Not Include in Accounting Entries,Ne pas inclure dans les écritures comptables
Do Not Update Serial / Batch on Creation of Auto Bundle,Ne pas mettre à jour la série/le lot lors de la création du lot automatique
Do Not Use Batch-wise Valuation,Ne pas utiliser la valorisation par lot
Do not create new user if user with email does not exist in the system,Ne pas créer de nouvel utilisateur si l'utilisateur avec cet e-mail n'existe pas dans le système
Do you really want to close this loan,Voulez-vous vraiment clôturer ce prêt
Do you really want to release this loan security assignment?,Voulez-vous vraiment libérer cette affectation de garantie de prêt ?
Do you still want to enable immutable ledger?,Souhaitez-vous quand même activer le grand livre immuable ?
Do you still want to enable negative inventory?,Souhaitez-vous quand même activer le stock négatif ?
Do you want to change valuation method?,Voulez-vous changer la méthode de valorisation ?
Do you want to submit the stock entry?,Voulez-vous soumettre l'écriture de stock ?
DocType is a Table / Form in the application.,Un DocType est une table / formulaire dans l'application.
DocType must have atleast one field,Le DocType doit avoir au moins un champ
DocType {0} with company field '{1}' is already in the list,Le DocType {0} avec le champ société '{1}' est déjà dans la liste
DocTypes cannot be modified, please use {0} instead,Les DocTypes ne peuvent pas être modifiés, veuillez utiliser {0} à la place
Document Links Row #{0}: Could not find field {1} in {2} DocType,Liens du document ligne #{0} : impossible de trouver le champ {1} dans le DocType {2}
Document Links Row #{0}: Invalid doctype or fieldname.,Liens du document ligne #{0} : doctype ou nom de champ invalide.
Document Links Row #{0}: Parent DocType is mandatory for internal links,Liens du document ligne #{0} : le DocType parent est obligatoire pour les liens internes
