source,traduction
Show Currency Symbol on Right Side,Afficher le symbole de devise à droite
Show Fieldname (click to copy on clipboard),Afficher le nom du champ (cliquer pour copier dans le presse-papiers)
Show Opening and Closing Balance,Afficher le solde d'ouverture et de clôture
Show Pay Button in Purchase Order Portal,Afficher le bouton Payer dans le portail des bons de commande
Show Social Login Key as Authorization Server,Afficher la clé de connexion sociale comme serveur d'autorisation
Show account deletion link in My Account page,Afficher le lien de suppression de compte dans la page Mon compte
Show negative values as positive (for expenses in P&L),Afficher les valeurs négatives comme positives (pour les dépenses dans le P&L)
Show net values in opening and closing columns,Afficher les valeurs nettes dans les colonnes d'ouverture et de clôture
Showing only first {0} rows out of {1},Affichage des {0} premières lignes sur {1}
Simple Python Expression, Example: <code class="language-python">status == "Invalid"</code>,Expression Python simple, Exemple : <code class="language-python">status == "Invalide"</code>
Simple Python Expression, Example: doc.status == 'Open' and doc.issue_type == 'Bug',Expression Python simple, Exemple : doc.status == 'Ouvert' and doc.issue_type == 'Bug'
Size exceeds the maximum allowed file size.,La taille dépasse la taille de fichier maximale autorisée.
Source Warehouse is mandatory for the Item {0}.,L'entrepôt source est obligatoire pour l'article {0}.
Source and target shifts cannot be the same,Les équipes source et cible ne peuvent pas être les mêmes
Specify Exchange Rate to convert one currency into another,Spécifier le taux de change pour convertir une devise en une autre
Specify conditions to calculate shipping amount,Spécifier les conditions pour calculer le montant de la livraison
Split Early Payment Discount Loss into Income and Tax Loss,Diviser la perte d'escompte de paiement anticipé en perte de revenu et perte fiscale
Split Quantity must be less than Asset Quantity,La quantité de division doit être inférieure à la quantité de l'actif
Splitting {0} {1} into {2} rows as per Payment Terms,Division de {0} {1} en {2} lignes selon les conditions de paiement
Standard DocType can not be deleted.,Le DocType standard ne peut pas être supprimé.
Standard Reports cannot be deleted,Les rapports standard ne peuvent pas être supprimés
Standard Reports cannot be edited,Les rapports standard ne peuvent pas être modifiés
Standard Web Forms can not be modified, duplicate the Web Form instead.,Les formulaires web standard ne peuvent pas être modifiés, dupliquez le formulaire web à la place.
Start Date should be lower than End Date,La date de début doit être inférieure à la date de fin
Start date cannot be greater than end date.,La date de début ne peut pas être supérieure à la date de fin.
Start time and end time cannot be same.,L'heure de début et l'heure de fin ne peuvent pas être identiques.
Status Updated. The email will be picked up in the next scheduled run.,Statut mis à jour. L'e-mail sera traité lors de la prochaine exécution planifiée.
Status set to rejected as there are one or more rejected readings.,Statut défini comme rejeté car il y a une ou plusieurs lectures rejetées.
Stock Closing Entry {0} already exists for the selected date range,L'écriture de clôture de stock {0} existe déjà pour la plage de dates sélectionnée
Stock Closing Entry {0} has been queued for processing, system will take sometime to complete it.,L'écriture de clôture de stock {0} a été mise en file d'attente de traitement, le système prendra un certain temps pour la compléter.
Stock Entries already created for Work Order {0}: {1},Des écritures de stock ont déjà été créées pour l'ordre de travail {0} : {1}
Stock Ledgers won't be reposted.,Les grands livres de stock ne seront pas retransmis.
Stock Reservation Entries Cancelled,Écritures de réservation de stock annulées
Stock Reservation Entries Created,Écritures de réservation de stock créées
Stock Reservation Entry cannot be updated as it has been delivered.,L'écriture de réservation de stock ne peut pas être mise à jour car elle a été livrée.
Stock cannot be updated against the following Delivery Notes: {0},Le stock ne peut pas être mis à jour contre les bons de livraison suivants : {0}
Stock not available for Item {0} in Warehouse {1}.,Stock non disponible pour l'article {0} dans l'entrepôt {1}.
Store the API secret securely. It won't be displayed again.,Stocker le secret API en sécurité. Il ne sera plus affiché.
Strip EXIF tags from uploaded images,Supprimer les balises EXIF des images téléversées
Sub assembly item references are missing. Please fetch the sub assemblies and raw materials again.,Les références des articles de sous-assemblage sont manquantes. Veuillez récupérer à nouveau les sous-assemblages et les matières premières.
Subcontracting Order (Draft) will be auto-created on submission of Purchase Order.,L'ordre de sous-traitance (brouillon) sera créé automatiquement lors de la soumission du bon de commande.
Submission of {0} before {1} is not allowed,La soumission de {0} avant {1} n'est pas autorisée
Submit this Leave Application to confirm.,Soumettez cette demande de congé pour confirmer.
Subscription for Future dates cannot be processed.,L'abonnement pour des dates futures ne peut pas être traité.
Successfully changed Stock UOM, please redefine conversion factors for new UOM.,UDM de stock changée avec succès, veuillez redéfinir les facteurs de conversion pour la nouvelle UDM.
Successfully created {0} for employees:,Créé avec succès {0} pour les employés :
Successfully imported {0} out of {1} records.,Importé avec succès {0} sur {1} enregistrements.
Successfully imported {0} record.,Importé avec succès {0} enregistrement.
Successfully imported {0} records.,Importé avec succès {0} enregistrements.
Successfully linked to Customer,Lié au client avec succès
Successfully linked to Supplier,Lié au fournisseur avec succès
Successfully merged {0} out of {1}.,Fusionné avec succès {0} sur {1}.
Successfully updated {0} out of {1} records.,Mis à jour avec succès {0} sur {1} enregistrements.
