source,traduction
Invalid simple filter format: {0},Format de filtre simple invalide : {0}
Invalid token state! Check if the token has been created by the OAuth user.,État du jeton invalide ! Vérifiez si le jeton a été créé par l'utilisateur OAuth.
Invalid value specified for UUID: {},Valeur invalide spécifiée pour l'UUID : {}
Invalid value {0} for {1} against account {2},Valeur invalide {0} pour {1} contre le compte {2}
Invitation to join {0} cancelled,Invitation à rejoindre {0} annulée
Is Period Closing Voucher Entry,Est une écriture de bon de clôture de période
It can take upto few hours for accurate stock values to be visible after merging items.,Il peut s'écouler quelques heures avant que les valeurs de stock exactes soient visibles après la fusion des articles.
Item Tax Row {0}: Account must belong to Company - {1},Ligne de taxe d'article {0} : le compte doit appartenir à la société - {1}
Item Warehouse based reposting has been enabled.,La retransmission basée sur l'article et l'entrepôt a été activée.
Item is mandatory in Raw Materials table.,L'article est obligatoire dans le tableau des matières premières.
Item is removed since no serial / batch no selected.,L'article est retiré car aucun numéro de série / lot n'est sélectionné.
Item qty can not be updated as raw materials are already processed.,La qté de l'article ne peut pas être mise à jour car les matières premières sont déjà traitées.
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},Le taux de l'article a été mis à zéro car 'Autoriser un taux de valorisation nul' est coché pour l'article {0}
Item valuation rate is recalculated considering landed cost voucher amount,Le taux de valorisation de l'article est recalculé en tenant compte du montant du bon de coût rendu
Item valuation reposting in progress. Report might show incorrect item valuation.,La retransmission de la valorisation des articles est en cours. Le rapport peut afficher une valorisation incorrecte.
Item {0} cannot be ordered more than {1} against Blanket Order {2}.,L'article {0} ne peut pas être commandé plus de {1} contre la commande globale {2}.
Item {0} entered multiple times.,L'article {0} saisi plusieurs fois.
Item {0} has no Serial No. Only serialized items can have delivery based on Serial No,L'article {0} n'a pas de numéro de série. Seuls les articles sérialisés peuvent avoir une livraison basée sur le numéro de série
Item {0} is not a subcontracted item,L'article {0} n'est pas un article sous-traité
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},L'article {0} introuvable dans la table 'Matières premières fournies' dans {1} {2}
Items cannot be updated as Subcontracting Order is created against the Purchase Order {0}.,Les articles ne peuvent pas être mis à jour car un ordre de sous-traitance est créé contre le bon de commande {0}.
Job Card {0} has been completed,La carte de travail {0} a été complétée
Journal Entry type should be set as Depreciation Entry for asset depreciation,Le type d'écriture de journal doit être défini comme Écriture d'amortissement pour l'amortissement des actifs
LDAP settings incorrect. validation response was: {0},Paramètres LDAP incorrects. La réponse de validation était : {0}
Last Reset Password Key Generated On,Dernière clé de réinitialisation du mot de passe générée le
Latitude and longitude values are required for checking in.,Les valeurs de latitude et longitude sont requises pour le pointage.
Lead {0} has been added to prospect {1}.,Le prospect {0} a été ajouté au suspect {1}.
Leave Adjustment for this allocation already exists: {0}. Please amend existing adjustment.,Un ajustement de congé pour cette allocation existe déjà : {0}. Veuillez modifier l'ajustement existant.
Leave allocation is skipped for {0}, because number of leaves to be allocated is 0.,L'allocation de congé est ignorée pour {0}, car le nombre de congés à allouer est 0.
Length of passed data array is greater than value of maximum allowed label points!,La longueur du tableau de données passé est supérieure à la valeur maximale des points d'étiquette autorisés !
Letter Head cannot be both disabled and default,L'en-tête de lettre ne peut pas être à la fois désactivé et par défaut
Limit must be a non-negative integer,La limite doit être un entier non négatif
Link for About Us Page is "/about".,Le lien pour la page À propos est "/about".
Linked with submitted documents,Lié à des documents soumis
Linking to Customer Failed. Please try again.,Échec de la liaison au client. Veuillez réessayer.
Linking to Supplier Failed. Please try again.,Échec de la liaison au fournisseur. Veuillez réessayer.
List of email addresses, separated by comma or new line.,Liste d'adresses e-mail, séparées par des virgules ou des sauts de ligne.
Loading Invoices! Please Wait...,Chargement des factures ! Veuillez patienter...
Loan Accrual Frequency not set for company {0},Fréquence d'accrual du prêt non définie pour la société {0}
Loan Securities worth {0} needed more to book the loan,Des garanties de prêt d'une valeur de {0} sont encore nécessaires pour comptabiliser le prêt
Loan Security Assignment can only be created for secured loans,L'affectation de garantie de prêt ne peut être créée que pour les prêts sécurisés
Loan To Security Value ratio must always be {0},Le ratio prêt/valeur de garantie doit toujours être {0}
Loans will be marked as NPA when the days past due count exceed this threshold,Les prêts seront marqués comme NPA lorsque le nombre de jours en retard dépasse ce seuil
Main Cost Center {0} cannot be entered in the child table,Le centre de coûts principal {0} ne peut pas être saisi dans la table enfant
Maintain Same Rate Throughout Internal Transaction,Maintenir le même taux tout au long de la transaction interne
Make Attachment Public (by default),Rendre la pièce jointe publique (par défaut)
Make Attachments Public by Default,Rendre les pièces jointes publiques par défaut
Make sure to configure a Social Login Key before disabling to prevent lockout,Assurez-vous de configurer une clé de connexion sociale avant de désactiver pour éviter le verrouillage
Mandatory fields required for this action:,Champs obligatoires requis pour cette action :
Map columns from {0} to fields in {1},Mapper les colonnes de {0} aux champs dans {1}
Mark attendance for existing check-in/out logs before changing shift settings,Marquer la présence pour les journaux de pointage existants avant de modifier les paramètres d'équipe
Master Production Schedule Item,Article du plan directeur de production
Material Requirements Planning Report,Rapport de planification des besoins en matériaux
Materials are already received against the {0} {1},Les matériaux ont déjà été reçus contre le {0} {1}
Max discount allowed for item: {0} is {1}%,La remise maximale autorisée pour l'article : {0} est {1}%
Maximum Attachment Limit of {0} has been reached for {1} {2}.,La limite maximale de pièces jointes de {0} a été atteinte pour {1} {2}.
Maximum Leave Allocation Allowed per Leave Period,Allocation maximale de congés autorisée par période de congés
Maximum Overtime Hours Allowed Per Day,Nombre maximum d'heures supplémentaires autorisées par jour
Maximum attachment limit of {0} has been reached.,La limite maximale de pièces jointes de {0} a été atteinte.
Maximum discount for Item {0} is {1}%,La remise maximale pour l'article {0} est {1}%
Maximum quantity scanned for item {0}.,Quantité maximale scannée pour l'article {0}.
Merge taxes from multiple documents,Fusionner les taxes de plusieurs documents
Message to be displayed on successful completion,Message à afficher en cas de réussite
Method is required to create a number card,La méthode est requise pour créer une carte numérique
Min Qty should be greater than Recurse Over Qty,La qté min doit être supérieure à la qté de récursion
Min Value: {0}, Max Value: {1}, in Increments of: {2},"Valeur min : {0}, Valeur max : {1}, par incréments de : {2}"
Minimum days between Disbursement date and first Repayment date,Nombre minimum de jours entre la date de décaissement et la première date de remboursement
Module onboarding progress reset,Réinitialisation de la progression d'intégration du module
