source,traduction
"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.",
 Phantom Item,
 Salary slips starting on or after this date will be considered for arrear calculations, Les bulletins de paie à partir de cette date seront pris en compte dans les calculs d'arriérés
 Unlink Payment on Cancellation of Employee Advance, Délier le paiement à l'annulation de l'avance employé
 You are impersonating as another user., Vous vous faites passer pour un autre utilisateur.
$dayjs,
$employee,
$translate,
% Of Applicant Portfolio,% du portefeuille du demandeur
% Of Total Portfolio,% du portefeuille total
% Produced,% produit
% Raw Material Received,% de matières premières reçues
% Raw Material Returned,% de matières premières retournées
&copy; Frappe Technologies Pvt. Ltd. and contributors,
'*' is only allowed in {0} SQL function(s),'*' est autorisé uniquement dans la/les fonction(s) SQL {0}
'{0}' is not a valid IBAN,'{0}' n'est pas un IBAN valide
(Daily Yield * No of Units Produced) / 100,(Rendement journalier × Nombre d'unités produites) / 100
(Good Units Produced / Total Units Produced) × 100,(Bonnes unités produites / Total des unités produites) × 100
(Total Workstation Time / Manufacturing Time) * 60,(Temps total au poste / Temps de fabrication) × 60
(none),(aucun)
"0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.",
00ee,
057f,
06cf,
0cfb,
1 Report,1 rapport
1 of 2,1 sur 2
1 row from {0},1 ligne depuis {0}
1 row to {0},1 ligne vers {0}
13d5,
14c3,
159b,
16:9,
17c2,
1:1,
1:N,
1be4,
1c0b,
1c7e,
1d80,
1dde,
23cb,
23e7,
241c,
25f0,
2ca0,
2d00,
342f,
35a1,
37e8,
3bbe,
3ca3,
3f8c,
428f,
44ad,
44d2,
44e7,
4:3,
4d64,
4de4,
4df4,
4fad,
5 days ago,il y a 5 jours
50c4,
56ef,
5a34,
5c6c,
5db7,
65f0,
69f3,
6eeb,
6f53,
73d9,
746f,
7b0b,
7c73,
7dd0,
7f9a,
825a,
83ab,
861d,
8aa5,
8bbf,
90e3,
94ca,
99af,
9bdd,
9bf2,
9ed3,
9f7f,
<0,
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">
  Click here to learn about token-based authentication
</a>",
"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,
<b>{0}</b> is not a valid URL,<b>{0}</b> n'est pas une URL valide
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>",
<h5>Employees on Half Day</h5>,<h5>Employés en demi-journée</h5>
