source,traduction
This invoice has already been paid.,Cette facture a déjà été payée.
This is a virtual doctype and data is cleared periodically.,Il s'agit d'un doctype virtuel et les données sont effacées périodiquement.
This is considered dangerous from accounting point of view.,Cela est considéré comme dangereux du point de vue comptable.
This method is only meant for developer mode,Cette méthode est uniquement destinée au mode développeur
This option can be checked to edit the 'Posting Date' and 'Posting Time' fields.,Cette option peut être cochée pour modifier les champs 'Date de comptabilisation' et 'Heure de comptabilisation'.
This site is in read only mode, full functionality will be restored soon.,Ce site est en mode lecture seule, la fonctionnalité complète sera restaurée prochainement.
This site is running in developer mode. Any change made here will be updated in code.,Ce site est en mode développeur. Toute modification effectuée ici sera mise à jour dans le code.
This table is used to set details about the 'Item', 'Qty', 'Basic Rate', etc.,Ce tableau est utilisé pour définir les détails sur l'article, la qté, le taux de base, etc.
This value is fetched from {0}'s {1} field,Cette valeur est récupérée depuis le champ {1} de {0}
This will reset this tour and show it to all users. Are you sure?,Cela réinitialisera cette visite guidée et la montrera à tous les utilisateurs. Êtes-vous sûr ?
This will terminate the job immediately and might be dangerous, are you sure?,Cela terminera immédiatement le travail et peut être dangereux, êtes-vous sûr ?
Timesheet {0} cannot be invoiced in its current state,La feuille de temps {0} ne peut pas être facturée dans son état actuel
Timesheets help keep track of time, cost and billing for activities done by your team,Les feuilles de temps aident à suivre le temps, le coût et la facturation pour les activités de votre équipe
To Delete list generated with {0} DocTypes,Liste À supprimer générée avec {0} DocTypes
To Time cannot be before from date,L'heure de fin ne peut pas être avant la date de début
To add Operations tick the 'With Operations' checkbox.,Pour ajouter des opérations, cochez la case 'Avec opérations'.
To allow more reports update limit in System Settings.,Pour autoriser plus de rapports, mettez à jour la limite dans les paramètres système.
To date cannot be before from date,La date de fin ne peut pas être avant la date de début
To enable server scripts, read the {0}.,Pour activer les scripts serveur, lisez le {0}.
To print output use <code>print(text)</code>,Pour imprimer la sortie, utilisez <code>print(texte)</code>
To submit the invoice without purchase order please set {0} as {1} in {2},Pour soumettre la facture sans bon de commande, veuillez définir {0} comme {1} dans {2}
To submit the invoice without purchase receipt please set {0} as {1} in {2},Pour soumettre la facture sans bon de réception, veuillez définir {0} comme {1} dans {2}
Too many changes to database in single action.,Trop de modifications de la base de données en une seule action.
Too many columns. Export the report and print it using a spreadsheet application.,Trop de colonnes. Exportez le rapport et imprimez-le avec une application tableur.
Too many queued background jobs ({0}). Please retry after some time.,Trop de travaux en arrière-plan en file d'attente ({0}). Veuillez réessayer après quelque temps.
Too many requests. Please try again later.,Trop de requêtes. Veuillez réessayer plus tard.
Total Advance Amount (Company Currency),Montant total des avances (devise de la société)
Total Claimed Amount (Company Currency),Montant total réclamé (devise de la société)
Total Expense Claim (via Expense Claim),Total des notes de frais (via note de frais)
Total Expense Claim (via Expense Claims),Total des notes de frais (via notes de frais)
Total Landed Cost (Company Currency),Coût rendu total (devise de la société)
Total Number of Booked Depreciations ,Nombre total d'amortissements comptabilisés
Total Outgoing Value (Consumption),Valeur sortante totale (consommation)
Total Sanctioned Amount (Company Currency),Montant total approuvé (devise de la société)
Total Value Difference (Incoming - Outgoing),Différence de valeur totale (entrante - sortante)
Total Workstation Time (In Hours),Temps total au poste de travail (en heures)
Total distributed amount {0} must be equal to Budget Amount {1},Le montant total distribué {0} doit être égal au montant budgétaire {1}
Total distribution percent must equal 100 (currently {0}),Le pourcentage de distribution total doit être égal à 100 (actuellement {0})
Total leaves allocated cannot exceed annual allocation of {0}.,Le total des congés alloués ne peut pas dépasser l'allocation annuelle de {0}.
