source,traduction
P&L Closing Balance,Solde de clôture P&L
PDF Generation in Progress,Génération PDF en cours
PDF Name,Nom du PDF
PDF Page Height (in mm),Hauteur de page PDF (en mm)
PDF Page Width (in mm),Largeur de page PDF (en mm)
Package,Paquet
Package Import,Import de paquet
Package Name,Nom du paquet
Package Release,Publication du paquet
Page Break After Each SoA,Saut de page après chaque relevé de compte
Page HTML,HTML de la page
Page Height (in mm),Hauteur de page (en mm)
Page Margins,Marges de la page
Page Number,Numéro de page
Page Route,Route de la page
Page Size,Taille de la page
Page Width (in mm),Largeur de page (en mm)
Page to show on the website,Page à afficher sur le site web
Page {0} of {1},Page {0} sur {1}
Paid Amount After Tax,Montant payé après taxe
Pallets,Palettes
Parameter Group Name,Nom du groupe de paramètres
Parent Account Missing,Compte parent manquant
Parent DocType,DocType parent
Parent Document,Document parent
Parent Document Type,Type de document parent
Parent Element Selector,Sélecteur d'élément parent
Parent Icon,Icône parente
Parent Missing,Parent manquant
Parent Row No,N° de ligne parent
Parquet File,Fichier Parquet
Parsing Error,Erreur d'analyse
Partial Material Transferred,Matériau partiellement transféré
Partial Payment Mechanism,Mécanisme de paiement partiel
Partial Stock Reservation,Réservation de stock partielle
Partial Success,Succès partiel
Partially Billed,Partiellement facturé
Partially Reconciled,Partiellement réconcilié
Partially Sent,Partiellement envoyé
Partially Used,Partiellement utilisé
Partly Paid,Partiellement payé
Partly Paid and Discounted,Partiellement payé et remisé
Partner Base Interest Rate,Taux d'intérêt de base du partenaire
Partner Code,Code partenaire
Partner Collection Percentage,Pourcentage de collecte du partenaire
Partner Interest Share,Part d'intérêt du partenaire
Partner Loan Amount Percentage,Pourcentage du montant du prêt partenaire
Partner Loan Share Percentage,Pourcentage de la part de prêt partenaire
Partner Name,Nom du partenaire
Partner Percentage,Pourcentage du partenaire
Partner Ratio,Ratio du partenaire
Partner Share,Part du partenaire
Partner Share Allocated,Part du partenaire allouée
Partnership,Partenariat
Party Full Name,Nom complet du tiers
Party IBAN (Bank Statement),IBAN du tiers (relevé bancaire)
Party Item Code,Code article du tiers
Party Link,Lien du tiers
Party Mismatch,Incohérence du tiers
Party Not Required,Tiers non requis
Party can only be one of {0},Le tiers ne peut être que l'un de {0}
Pass,Réussi
Passport Details,Détails du passeport
Password Email Sent,E-mail de mot de passe envoyé
Password cannot be filtered,Le mot de passe ne peut pas être filtré
Password is valid. 👍,Le mot de passe est valide. 👍
Password requirements not met,Les exigences de mot de passe ne sont pas remplies
Password set,Mot de passe défini
Passwords do not match,Les mots de passe ne correspondent pas
