source,traduction
Machine,Machine
Machine Type,Type de machine
Madam,Madame
Main Cost Center,Centre de coûts principal
Main Item Code,Code article principal
Maintain Asset,Maintenir l'actif
Maintenance Details,Détails de maintenance
Major,Majeur
Make Asset Movement,Créer un mouvement d'actif
Make Lead Time,Délai de fabrication
Make Purchase / Work Order,Créer un bon de commande / ordre de travail
Make Quotation,Créer un devis
Make Return Entry,Créer une écriture de retour
Make Subcontracting PO,Créer un bon de commande de sous-traitance
Make Transfer Entry,Créer une écriture de transfert
Make a call,Passer un appel
Make {0} Variant,Créer la variante {0}
Make {0} Variants,Créer les variantes {0}
Manage 3rd party apps,Gérer les applications tierces
Manage Billing,Gérer la facturation
Mandatory Accounting Dimension,Dimension comptable obligatoire
Mandatory Benefit Application,Demande d'avantage obligatoire
Mandatory Depends On (JS),Obligatoire dépend de (JS)
Mandatory Section,Section obligatoire
Mandatory fields required:,Champs obligatoires requis :
Manual Foreclosure,Saisie manuelle
Manual Inspection,Inspection manuelle
Manual NPA,NPA manuel
Manual Remarks,Remarques manuelles
Manually,Manuellement
Manually marked as NPA,Marqué manuellement comme NPA
Manufacturers used in Items,Fabricants utilisés dans les articles
Manufacturing BOM,Nomenclature de fabrication
Manufacturing Time,Temps de fabrication
Manufacturing Type,Type de fabrication
Map,Carte
Map View,Vue carte
Mapping {0} ...,Mappage {0}...
Margin Bottom,Marge inférieure
Margin Left,Marge gauche
Margin Right,Marge droite
Margin Top,Marge supérieure
Margin View,Vue de marge
MariaDB Variables,Variables MariaDB
Mark As Closed,Marquer comme fermé
Mark all as read,Tout marquer comme lu
Mark as Failed,Marquer comme échoué
Markdown Editor,Éditeur Markdown
Master,Maître
Master Production Schedule,Plan directeur de production
Material Returned from WIP,Matériau retourné depuis WIP
Material Transfer (In Transit),Transfert de matériau (en transit)
Material from Customer,Matériau du client
Maturity Date,Date d'échéance
Max Amount Eligible For Claim,Montant max éligible à la réclamation
Max Execution Time (Seconds),Temps d'exécution max (secondes)
Max File Size (MB),Taille max du fichier (Mo)
Max Height,Hauteur max
Max Memory Usage,Utilisation mémoire max
Max Producible Qty,Qté max productible
Max Qty (As Per Stock UOM),Qté max (selon UDM stock)
Max Records To Sync,Enregistrements max à synchroniser
Max Report Rows,Lignes max du rapport
Max attachment size,Taille max des pièces jointes
Max auto email report per user,Rapport e-mail auto max par utilisateur
Max signups allowed per hour,Inscriptions max autorisées par heure
Maximum Benefit Amount,Montant max d'avantage
Maximum Limit Amount,Montant max de la limite
Maximum Net Rate,Taux net max
Maximum Overtime Hours Allowed,Heures supplémentaires max autorisées
Maximum Payment Amount,Montant max de paiement
Maximum Value,Valeur max
Maybe,Peut-être
Meets Condition?,Remplit la condition ?
Memory Limit (MB),Limite mémoire (Mo)
Memory Usage,Utilisation mémoire
Memory Usage in MB,Utilisation mémoire en Mo
Merge Invoices Based On,Fusionner les factures selon
Merge Progress,Progression de la fusion
Merge Similar Account Heads,Fusionner les comptes similaires
Merged,Fusionné
Merging {0} of {1},Fusion de {0} sur {1}
Message direct,Message direct
Messages,Messages
Messaging CRM Campaign,Campagne CRM de messagerie
Meta,Méta
Meta Description,Méta description
Meta Image,Méta image
Meta Tags,Méta balises
Meta Title,Méta titre
Meta description,Méta description
Meta image,Méta image
Meta title,Méta titre
Metadata,Métadonnées
Method Not Allowed,Méthode non autorisée
Mid Center,Centre milieu
Min Qty (As Per Stock UOM),Qté min (selon UDM stock)
Minimum Net Rate,Taux net min
Minimum Payment Amount,Montant min de paiement
Minor,Mineur
Minutes After,Minutes après
Minutes Before,Minutes avant
Minutes Offset,Décalage en minutes
Misc,Divers
Misconfigured,Mal configuré
Mismatch,Incohérence
Missing,Manquant
Missing Advance Account,Compte d'avance manquant
Missing Asset,Actif manquant
Missing Cost Center,Centre de coûts manquant
Missing Default in Company,Défaut manquant dans la société
Missing DocType,DocType manquant
Missing Filters,Filtres manquants
Missing Filters Required,Filtres obligatoires manquants
Missing Finance Book,Livre de finances manquant
Missing Finished Good,Produit fini manquant
Missing Formula,Formule manquante
Missing Item,Article manquant
Missing Mandatory Field,Champ obligatoire manquant
Missing Opening Entries,Écritures d'ouverture manquantes
Missing Payments App,Application Payments manquante
Missing Permission,Permission manquante
Missing Salary Components,Composantes de salaire manquantes
Missing Serial No Bundle,Lot de n° de série manquant
Missing Tax Slab,Tranche fiscale manquante
Missing Value,Valeur manquante
Missing Values Required,Valeurs obligatoires manquantes
Missing required filter: {0},Filtre requis manquant : {0}
Missing value,Valeur manquante
Mobile: ,Mobile :
Modal Trigger,Déclencheur modal
Module (for Export),Module (pour export)
Module {} not found,Module {} introuvable
Monitor for Last 'X' days,Surveiller les 'X' derniers jours
Monospace,Monospace
Monthly as per cycle date,Mensuel selon la date du cycle
Moratorium Details,Détails du moratoire
Moratorium End Date,Date de fin du moratoire
Moratorium Tenure,Durée du moratoire
Moratorium Type,Type de moratoire
More Info,Plus d'infos
More/Less than 12 months.,Plus/moins de 12 mois.
Move,Déplacer
Move Stock,Déplacer le stock
Move cursor to above row,Déplacer le curseur sur la ligne du dessus
Move cursor to below row,Déplacer le curseur sur la ligne du dessous
Move cursor to next column,Déplacer le curseur sur la colonne suivante
Move cursor to previous column,Déplacer le curseur sur la colonne précédente
Move sections to new tab,Déplacer les sections dans un nouvel onglet
Move to Cart,Déplacer dans le panier
Movement,Mouvement
Moving up in tree ...,Remontée dans l'arbre...
Multi-level BOM Creator,Créateur de nomenclature multi-niveaux
Multiple POS Opening Entry,Plusieurs écritures d'ouverture PDV
Multiple Warehouse Accounts,Plusieurs comptes d'entrepôt
My Device,Mon appareil
My Filter,Mon filtre
NPA Type,Type de NPA
