source,traduction
SLA Fulfilled On,SLA rempli le
SLA Fulfilled On Status,Statut SLA rempli le
SLA Paused On,SLA mis en pause le
SMS sent successfully,SMS envoyé avec succès
SMTP Server is required,Le serveur SMTP est requis
SO Total Qty,Qté totale commande client
SQL Explain,Explication SQL
SQL Output,Sortie SQL
SQL Queries,Requêtes SQL
Salary Component Based,Basé sur la composante de salaire
Salary Slip Reference,Référence de bulletin de paie
Salary Slip not found.,Bulletin de paie introuvable.
Salary Withholding,Retenue de salaire
Salary Withholding Cycle,Cycle de retenue de salaire
Sales Forecast,Prévisions de ventes
Sales Forecast Item,Article de prévision de ventes
Sales Incoming Rate,Taux entrant de vente
Sales Invoice Reference,Référence de facture de vente
Sales Invoice Transactions,Transactions de facture de vente
Sales Invoice is not submitted,La facture de vente n'est pas soumise
Sales Opportunities by Medium,Opportunités de vente par canal
Sales Opportunities by Source,Opportunités de vente par source
Sales Order Schedule,Calendrier de commande client
Sales Order Status,Statut de commande client
Sales Pipeline Analytics,Analyse du pipeline de vente
Sales Pipeline by Stage,Pipeline de vente par étape
Sales Tax Withholding Category,Catégorie de retenue de taxe de vente
Salvage Value,Valeur résiduelle
Salvage Value Percentage,Pourcentage de valeur résiduelle
Save Customizations,Enregistrer les personnalisations
Save on Completion,Enregistrer à la fin
Save the document.,Enregistrer le document.
Saving Changes...,Enregistrement des modifications...
Saving Customization...,Enregistrement de la personnalisation...
Savings,Épargne
Scan Batch No,Scanner le n° de lot
Scan Job Card Qrcode,Scanner le QR code de la carte de travail
Scan Mode,Mode scanner
Scan QRCode,Scanner le QR code
Scan Serial No,Scanner le n° de série
Scan barcode for item {0},Scanner le code-barres pour l'article {0}
Scanned Quantity,Quantité scannée
Schedule (Cron),Planification (Cron)
Schedule Send At,Planifier l'envoi à
Scheduled Against,Planifié contre
Scheduled Time Logs,Feuilles de temps planifiées
Scheduler Inactive,Planificateur inactif
Scheduler Status,Statut du planificateur
Scheduler: Active,Planificateur : Actif
Scheduler: Inactive,Planificateur : Inactif
Scheduling,Planification
Scheduling...,Planification en cours...
Schema,Schéma
Scope,Périmètre
Scopes,Périmètres
Scopes Supported,Périmètres supportés
Scrap & Process Loss,Rebut et pertes de processus
