source,traduction
Changing '{0}' to {1}.,Modification de '{0}' en {1}.
Charge Based On,Frais basés sur
Charge Code,Code de frais
Charge Payment,Paiement de frais
Charge Type,Type de frais
Charges Capitalization,Capitalisation des frais
Charges Overdue,Frais en retard
Charges Treatment,Traitement des frais
Charges Waiver,Renonciation aux frais
Checked On,Vérifié le
Checkin Radius,Rayon de pointage
Checkout,Validation
Child DocTypes,Types de document enfants
Child DocTypes are not allowed,Les types de document enfants ne sont pas autorisés
Child Item,Article enfant
Child Row Reference,Référence de ligne enfant
Child Table Not Allowed,Table enfant non autorisée
Claim an Expense,Réclamer une dépense
Classification Code,Code de classification
Classification Name,Nom de classification
Clear & Add Template,Effacer et ajouter le modèle
Clear & Add template,Effacer et ajouter le modèle
Clear Demo Data,Effacer les données de démo
Clear Last Scanned Warehouse,Effacer le dernier entrepôt scanné
Clear Link,Effacer le lien
Clear Logs After (days),Effacer les journaux après (jours)
Clearing Demo Data...,Effacement des données de démo...
Click below to get started:,Cliquez ci-dessous pour commencer :
Click on a file to select it.,Cliquez sur un fichier pour le sélectionner.
Click to Set Dynamic Filters,Cliquer pour définir les filtres dynamiques
Click to Set Filters,Cliquer pour définir les filtres
Click to add email / phone,Cliquer pour ajouter e-mail / téléphone
Click to sort by {0},Cliquer pour trier par {0}
Client Id,ID client
Client Metadata,Métadonnées du client
Client URI,URI du client
Client script,Script client
Closing Balance as per ERP,Solde de clôture selon ERP
Closing [Opening + Total] ,Clôture [Ouverture + Total]
Closure Date,Date de clôture
Cmd+Enter to add comment,Cmd+Entrée pour ajouter un commentaire
Co Lender Schedule,Calendrier du co-prêteur
Co Lending,Co-prêt
Co-Lender Schedule,Calendrier du co-prêteur
Code Challenge,Défi de code
Code Editor Type,Type d'éditeur de code
Code challenge method,Méthode de défi de code
Collapse All,Tout réduire
Collapsible Depends On (JS),Réduction dépend de (JS)
Collect Outstanding Amount,Encaisser le montant impayé
Collection Offset Sequence,Séquence de décalage de collecte
Collection Percentage,Pourcentage de collecte
Coltom Chat Channel,Canal de discussion Coltom
Coltom Chat Channel Member,Membre du canal de discussion Coltom
Coltom Chat Message,Message de discussion Coltom
Column 1,Colonne 1
Column 2,Colonne 2
Column width cannot be zero.,La largeur de colonne ne peut pas être zéro.
Column {0},Colonne {0}
Commercial,Commercial
Commercial Rounding,Arrondi commercial
Committed,Validé
Common Code,Code commun
Communication secret not set,Secret de communication non défini
Company Account is mandatory,Le compte de société est obligatoire
Company Address Display,Affichage de l'adresse de la société
Company Collection Percentage,Pourcentage de collecte de la société
Company Contact Person,Personne de contact de la société
Company Field,Champ Société
Compare Versions,Comparer les versions
Compilation warning,Avertissement de compilation
Complete KYC,Compléter le KYC
Complete Order,Finaliser la commande
Complete Setup,Terminer la configuration
Completed By Role,Terminé par le rôle
Completed By User,Terminé par l'utilisateur
Completed Tenure,Durée terminée
Completed Time,Temps terminé
Component,Composant
Component Expense Account,Compte de dépense du composant
Compressed,Compressé
Condition JSON,JSON de condition
Condition Type,Type de condition
Condition description,Description de la condition
Conditional Rule,Règle conditionnelle
Conditional Rule Examples,Exemples de règle conditionnelle
Config,Configuration
Configure Product Assembly,Configurer l'assemblage de produit
Configure Recorder,Configurer l'enregistreur
Configure columns for {0},Configurer les colonnes pour {0}
Confirm Access,Confirmer l'accès
Confirm Deletion of Account,Confirmer la suppression du compte
Connect to {},Connexion à {}
Connected App,Application connectée
Connected User,Utilisateur connecté
Connection Lost,Connexion perdue
Connection String,Chaîne de connexion
Consider Minimum Order Qty,Considérer la qté de commande minimum
Consider Process Loss,Considérer les pertes de processus
Consider Rejected Warehouses,Considérer les entrepôts rejetés
Consider for Tax Withholding,Considérer pour la retenue fiscale
Consider for Tax Withholding ,Considérer pour la retenue fiscale
Considered In Paid Amount,Considéré dans le montant payé
Consolidate Sub Assembly Items,Consolider les sous-assemblages
Consolidated Trial Balance,Balance générale consolidée
Constraints,Contraintes
Consumed Asset Total Value,Valeur totale des actifs consommés
Consumed Assets,Actifs consommés
Consumed Items Cost,Coût des articles consommés
Consumed Stock Items,Articles de stock consommés
Consumed Stock Total Value,Valeur totale du stock consommé
Consumption Rate,Taux de consommation
Contact Us,Nous contacter
Contact Us Settings,Paramètres Nous contacter
Contains {0} security fix,Contient {0} correctif de sécurité
Contains {0} security fixes,Contient {0} correctifs de sécurité
Content data shoud be a list,Les données de contenu doivent être une liste
Contract Template Help,Aide du modèle de contrat
Contribution (%),Contribution (%)
Contribution Qty,Qté de contribution
Conversion rate cannot be 0,Le taux de conversion ne peut pas être 0
Convert to Ledger,Convertir en grand livre
Copied {0} {1} to clipboard,Copié {0} {1} dans le presse-papiers
Core,Noyau
Corporate Guarantee Only,Garantie corporative uniquement
Correct version :,Version correcte :
Cost Center Allocation,Allocation de centre de coûts
Cost of Poor Quality Report,Rapport de coût de mauvaise qualité
Cost to Company (CTC),Coût pour l'entreprise (CTC)
Could not find path for ,Impossible de trouver le chemin pour
Could not parse field: {0},Impossible d'analyser le champ : {0}
Could not start up:,Impossible de démarrer :
Count of linked documents,Nombre de documents liés
Country Setup failed,Échec de la configuration du pays
Create Depreciation Entry,Créer une écriture d'amortissement
Create Employee records.,Créer des fiches d'employés.
Create Grouped Asset,Créer un actif groupé
Create Journal Entries,Créer des écritures de journal
Create Link,Créer un lien
Create MPS,Créer MPS
Create Multi-level BOM,Créer une nomenclature multi-niveaux
Create Overtime Slips,Créer des bulletins d'heures supplémentaires
Create Reposting Entries,Créer des écritures de retransmission
Create Reposting Entry,Créer une écriture de retransmission
Create Shifts After,Créer des équipes après
Create or Edit Workflow,Créer ou modifier le flux de travail
Create {0} {1} ?,Créer {0} {1} ?
Created At,Créé le
Created By Migration,Créé par migration
Created By You,Créé par vous
Created By {0},Créé par {0}
Creating Delivery Note ...,Création du bon de livraison...
Creating Delivery Schedule...,Création du calendrier de livraison...
Creating Journal Entries...,Création des écritures de journal...
Creating Packing Slip ...,Création du bordereau d'emballage...
Creation Date,Date de création
Credit Account is mandatory,Le compte de crédit est obligatoire
Credit Adjustment,Ajustement de crédit
Credit Adjustment Amount,Montant d'ajustement de crédit
Credit Limit Crossed,Limite de crédit dépassée
Creditor Turnover Ratio,Ratio de rotation des créanciers
Crop,Recadrer
Ctrl + Down,Ctrl + Bas
Ctrl + Up,Ctrl + Haut
CumulativeSum,SommeCumulative
Current Asset,Actif courant
Current Disbursed Amount,Montant décaissé courant
Current Index,Index courant
Current Job ID,ID du travail courant
Current Level,Niveau courant
Current Liability,Passif courant
Current Node,Nœud courant
Current Payroll Period,Période de paie courante
Current Principal Amount,Montant principal courant
Current Ratio,Ratio courant
Current Restructure Count,Nombre de restructurations courantes
Current Serial / Batch Bundle,Lot série/lot courant
Current status,Statut actuel
Custom API,API personnalisée
Custom Block Name,Nom de bloc personnalisé
Custom Blocks,Blocs personnalisés
Custom Condition,Condition personnalisée
Custom Delimiters,Délimiteurs personnalisés
Custom Financial Statement,État financier personnalisé
Custom Group Search,Recherche de groupe personnalisée
Custom HTML Block,Bloc HTML personnalisé
Custom Headers,En-têtes personnalisés
Custom Label,Étiquette personnalisée
Custom delimiters,Délimiteurs personnalisés
Customer / Item / Item Group,Client / Article / Groupe d'articles
Customer Advances,Avances clients
Customer Number At Supplier,Numéro client chez le fournisseur
Customer Numbers,Numéros clients
Customer Portal Users,Utilisateurs du portail client
Customer Provided Item Cost,Coût de l'article fourni par le client
Customer Refund Account,Compte de remboursement client
Customer Warehouse,Entrepôt du client
Customer: ,Client :
Customizations Discarded,Personnalisations rejetées
Customize Child Table,Personnaliser la table enfant
