source,traduction
HR & Payroll,RH et Paie
HR & Payroll Settings,Paramètres RH et Paie
HTML Message,Message HTML
HTML with jinja support,HTML avec support Jinja
HTTP Headers,En-têtes HTTP
Half Yearly,Semestriel
Handle Employee Advances,Gérer les avances employés
Handled Emails,E-mails traités
Has Alternative Item,A un article alternatif
Has Corrective Cost,A un coût correctif
Has Item Scanned,A un article scanné
Has Next Condition,A une condition suivante
Has Operating Cost,A un coût d'exploitation
Has Priority,A une priorité
Has Setup Wizard,A un assistant de configuration
Has Subcontracted,Est sous-traité
Has Unit Price Items,A des articles avec prix unitaire
Header Icon,Icône d'en-tête
Header Script,Script d'en-tête
"Header, Robots","En-tête, robots"
Headers must be a dictionary,Les en-têtes doivent être un dictionnaire
Health Insurance,Assurance santé
Health Insurance No,N° d'assurance santé
Health Insurance Provider,Fournisseur d'assurance santé
Helpful,Utile
Here's your tracking URL,Voici votre URL de suivi
"Hi,","Bonjour,"
Hidden Fields,Champs masqués
Hide Buttons,Masquer les boutons
Hide Descendants,Masquer les descendants
Hide Empty Read-Only Fields,Masquer les champs vides en lecture seule
Hide Error,Masquer l'erreur
Hide If Zero,Masquer si zéro
Hide Images,Masquer les images
Hide Label,Masquer l'étiquette
Hide Preview,Masquer l'aperçu
Hide Recent Orders,Masquer les commandes récentes
Hide footer,Masquer le pied de page
Hide footer signup,Masquer l'inscription du pied de page
Hide navbar,Masquer la barre de navigation
Hide timesheets,Masquer les feuilles de temps
Holiday List Assignment,Affectation de liste de jours fériés
Holiday List End,Fin de la liste de jours fériés
Holiday List Start,Début de la liste de jours fériés
Horizontal Break,Saut horizontal
Hourly Maintenance,Maintenance horaire
Hourly Rate,Taux horaire
Hours Spent,Heures passées
How Pricing Rule is applied?,Comment la règle de tarification est appliquée ?
How this line gets its data,Comment cette ligne obtient ses données
Hrs,Hres
ID (name),ID (nom)
Icon Image,Image d'icône
Icon Style,Style d'icône
Icon Type,Type d'icône
Ignore Account Closing Balance,Ignorer le solde de clôture du compte
Ignore Closing Balance,Ignorer le solde de clôture
Ignore Empty Stock,Ignorer le stock vide
Ignore On Cancel Amount Update,Ignorer la mise à jour du montant à l'annulation
Illegal template,Modèle illégal
Image Height,Hauteur de l'image
Image Width,Largeur de l'image
Image link '{0}' is not valid,Le lien d'image '{0}' n'est pas valide
