source,traduction
Only applies for Normal Payments,S'applique uniquement aux paiements normaux
Only draft documents can be discarded,Seuls les documents en brouillon peuvent être rejetés
Only one {0} entry can be created against the Work Order {1},Une seule écriture {0} peut être créée contre l'ordre de travail {1}
Only records belonging to {0} will be deleted,Seuls les enregistrements appartenant à {0} seront supprimés
Only reports of type Report Builder can be deleted,Seuls les rapports de type Constructeur de rapport peuvent être supprimés
Only reports of type Report Builder can be edited,Seuls les rapports de type Constructeur de rapport peuvent être modifiés
Only submitted unpledge requests can be approved,Seules les demandes de mainlevée soumises peuvent être approuvées
Only the Administrator can delete a standard DocType.,Seul l'administrateur peut supprimer un DocType standard.
Only the assignee can complete this to-do.,Seul le responsable peut terminer cette tâche.
Only {0} emailed reports are allowed per user.,Seuls {0} rapports par e-mail sont autorisés par utilisateur.
OpenID Configuration fetched successfully!,Configuration OpenID récupérée avec succès !
Opening Entry can not be created after Period Closing Voucher is created.,L'écriture d'ouverture ne peut pas être créée après la création du bon de clôture de période.
Opening Number of Booked Depreciations,Nombre d'amortissements comptabilisés à l'ouverture
Opening Purchase Invoices have been created.,Les factures d'achat d'ouverture ont été créées.
Opening Sales Invoices have been created.,Les factures de vente d'ouverture ont été créées.
Operating Cost Per BOM Quantity,Coût d'exploitation par quantité de nomenclature
Operation time does not depend on quantity to produce,Le temps d'opération ne dépend pas de la quantité à produire
Opportunity Amount (Company Currency),Montant de l'opportunité (devise de la société)
Opportunity Summary by Sales Stage,Résumé des opportunités par étape de vente
Options for Rating field can range from 3 to 10,Les options pour le champ Note peuvent aller de 3 à 10
Options is required for field {0} of type {1},Les options sont requises pour le champ {0} de type {1}
Other Charges Waiver cannot be greater than overdue charges,La renonciation aux autres frais ne peut pas être supérieure aux frais en retard
Outstanding (Company Currency),En souffrance (devise de la société)
Outstanding Principal & Interest Accrued,Principal en souffrance et intérêts accruals
Over Delivery/Receipt Allowance (%),Tolérance de sur-livraison/réception (%)
Overtime Duration for {0} is greater than Maximum Overtime Hours Allowed,La durée des heures supplémentaires pour {0} est supérieure au maximum autorisé
Overtime Slip Creation Error for {0},Erreur de création de bulletin d'heures supplémentaires pour {0}
